rank,verdict,in_corpus,cites,year,title,doi_url,authors,venue,rationale,sources
968,NO,,0,,Assessing Best Practices of a Multidisciplinary Experiential Learning Engineering Course,https://doi.org/10.18260/1-2--46602,Nicholas Choi; Liang Wu,2024 ASEE Annual Conference &amp; Exposition Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
969,NO,,0,,Innovative Next-Generation Virtual Reality-based Immersive Approaches for Learning Engineering Concepts,https://doi.org/10.18260/1-2--47630,J. Cecil,2024 ASEE Annual Conference &amp; Exposition Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
970,NO,,0,2004,"EDUTECH, Computer-Aided Design Meets Computer-Aided Learning, IFIP 18th World Computer Congress, TC10 / WG10.5 EduTech Workshop, 22-27 August 2004, Toulouse, France",,Ifip Tc; C. D. Kloos; Abelardo Pardo,Edutech,No abstract and no LE signals in title/venue/authors.,semanticscholar
971,NO,,0,2025,Caring Pedagogies in Action,https://doi.org/10.54337/irspbl-11101,Kristo Kotsi; Mian Xie; Matheus de Andrade,Proceedings from the International Research Symposium on Problem-Based Learning (IRSPBL),Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
972,NO,,0,2021,Optical Communication Engineering Simulation Laboratory for Effective Undergraduate Education during Era of Covid19,https://doi.org/10.17762/turcomat.v12i10.5195,S. Khant,,No abstract and no LE signals in title/venue/authors.,semanticscholar
973,NO,,0,,AC 2012-4344 : FUTURE ENGINEERING PROFESSORS ’ VIEWS OF THE ROLE OF MOTIVATION IN TEACHING AND LEARNING,,Mrs. Ana T. Torres-Ayala,,No abstract and no LE signals in title/venue/authors.,semanticscholar
974,YES,,0,2013,How to Engineer eLearning: An evidence-based human-centered design process for modern times,https://doi.org/10.1145/3623390.3623616,Douglas A. Wilson,eLearn Mag.,Wilson review of Goodell & Kolodner LE Toolkit.,semanticscholar
975,NO,,0,2020,Using Video Clips to Improve Oral Presentation Skills in Distance Learning Engineering Degrees and Master’s Courses,,Carlos Galindo; Pablo Gregori; V. Martínez,,No abstract and no LE signals in title/venue/authors.,semanticscholar
976,NO,,0,2016,Project-based Learning in a Forensic Engineering Course,https://doi.org/10.18260/p.25980,M. Nasir; Eric G. Meyer; B. T. Weaver,,No abstract and no LE signals in title/venue/authors.,semanticscholar
977,NO,,0,2004,Flowing Your Way Through Equations: Putting The Decisions In The Hands Of The Students,https://doi.org/10.18260/1-2--13743,Laura Genik; C. Somerton,,No abstract and no LE signals in title/venue/authors.,semanticscholar
978,NO,,0,2021,Methodology for implementing the personal approach in adaptive learning systems,https://doi.org/10.20323/1813-145x-2021-1-118-151-161,Vladislav A. Medintsev,,"Medintsev personalization in ALS — AIED/ALS paper, sibling field.",semanticscholar
979,NO,,0,2026,Scaling Coding Agents via Atomic Skills,,Yingwei Ma; Yue Liu; Xinlong Yang,,No LE-discipline signals found.,semanticscholar
980,NO,,0,2005,Experiential Learning And Teacher Training Through Designing Robots And Motion Behaviors: A Tiered Approach,https://doi.org/10.18260/1-2--14157,I. Verner,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
981,ADJACENT,,0,2021,Innovating AECT,https://doi.org/10.1007/s11528-021-00685-7,A. Carr-Chellman,TechTrends,Carr-Chellman 'Innovating AECT' — no abstract; AECT editorial likely adjacent to LE/ID.,semanticscholar
982,NO,,0,2016,Teaching and learning Engineering in primary schools using the project method,https://doi.org/10.18173/2354-1075.2016-0108,Dương Giáng Thiên Hương,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
983,NO,,0,2016,ARDUINO AS A FIRST STEP IN ENGINEERING,https://doi.org/10.17770/het2016.20.3548,Artem Naruzhnii; I. Efimov; Julia Bruttan,HUMAN. ENVIRONMENT. TECHNOLOGIES. Proceedings of the Students International Scientific and Practical Conference,No LE-discipline signals found.,semanticscholar
984,NO,,0,2023,Special issue on “Recent advances on computational intelligence techniques and applications in big data”,https://doi.org/10.1007/s12065-023-00880-w,Xingsi Xue; Pei-Wei Tsai; Yuping Wang,Evolutionary Intelligence,No abstract and no LE signals in title/venue/authors.,semanticscholar
985,NO,,0,2022,COMPONENTS OF GRAPHIC TRAINING CONCEPT FOR FUTURE MECHANICAL ENGINEERS,https://doi.org/10.33989/2075-146x.2022.29.264249,V. Boiko,ТHE SOURCES OF PEDAGOGICAL SKILLS,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
986,NO,,0,2014,SELF-ASSESSMENT OF LEARNING USING INTELLIGENT INTERACTIVE WORKSHEETS,https://doi.org/10.18260/1-2--23009,H. M. Peterson; Kristi J Shryrock,,No abstract and no LE signals in title/venue/authors.,semanticscholar
987,NO,,0,2026,World Models as an Intermediary between Agents and the Real World,https://doi.org/10.48550/arxiv.2602.00785,Sherry Yang,arXiv.org,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
988,NO,,0,2024,CONCEPTS OF OPEN INNOVATION IN A PROJECT-BASED LEARNING ENGINEERING COURSE: A CASE STUDY WITH ASSESSMENT OF ACTIVE LEARNING MATURITY LEVEL,https://doi.org/10.21125/inted.2024.1717,H. Arruda; Humberto Passos,INTED Proceedings,No abstract and no LE signals in title/venue/authors.,semanticscholar
989,NO,,0,2006,PARADIGMS IN ENGINEERING UNIVERSITY PROGRAMS: THE CASE OF MEXICO,,J. C. Gortari,,No abstract and no LE signals in title/venue/authors.,semanticscholar
990,NO,,0,2014,An investigation of the status quo of freshmen adjustment in Guizhou Province,,Luo Ji,,No abstract and no LE signals in title/venue/authors.,semanticscholar
991,NO,,0,2004,Distributed Learning Environment Support for Remotely-accessed Embedded Systems,,J. Harkin; M. El-Gueddari; M. Callaghan,,No abstract and no LE signals in title/venue/authors.,semanticscholar
992,NO,,0,2024,Variational Learning of Integrated Quantum Photonic Circuits via Genetic Algorithm,https://doi.org/10.1002/lpor.202400359,Hui Zhang; Chengran Yang; Wai-Keong Mok,Laser &amp; Photonics Reviews,No LE-discipline signals found.,semanticscholar
993,NO,,0,2019,A Fast Matrix-Completion-Based Approach for Recommendation Systems,,Meng Qiao; Zhen Shan; Fudong Liu,arXiv.org,No LE-discipline signals found.,semanticscholar
994,NO,,0,2018,Εφαρμογή μεθόδων μηχανικής μάθησης σε πολυπαραμετρικά βιοϊατρικά δεδομένα,,Αφροδίτη Μπαλαφούτη,,No abstract and no LE signals in title/venue/authors.,semanticscholar
995,NO,,0,2019,A Unified Concept of Element-Joint Model for Applied Mathematics with Structural Mechanic Engineering Education,https://doi.org/10.1007/978-3-030-40274-7_46,Sacharuck Pornpeerakeat; Pasin Plodpradit,International Conference on Interactive Collaborative Learning,No abstract and no LE signals in title/venue/authors.,semanticscholar
996,NO,,0,2010,EFFECTIVE LEARNING OF BUCKLING OF COLUMNS IN ENGINEERING PROGRAMS,,V. Lê; H. Champliaud; Françoise Marchand,,No abstract and no LE signals in title/venue/authors.,semanticscholar
997,NO,,0,,"Exploring Knowledge, Skills, Attributes and Technical Learning in a Work-Integrated Learning Engineering Program",https://doi.org/10.18260/1-2--56514,Annick Dewald; Sophia Vicente; Hannah Root,2025 ASEE Annual Conference &amp; Exposition  Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
998,NO,,0,2022,VIRTUAL LABORATORY FOR VIRTUAL ANALYSIS IN TECHNICAL EDUCATION,https://doi.org/10.55606/jeei.v2i2.915,Budi Raharjo; Yuli Fitriyanto; Sumaryanto Sumaryanto,"Journal of Engineering, Electrical and Informatics",Raharjo virtual laboratory for technical education — EngEd.,semanticscholar
999,NO,,0,2013,"First Year Engineering, An Evolution of Experiential Learning",,R. Musiak; Eric Haffner; Thomas K. Keyser,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1000,NO,,0,2007,Don't Get No Satisfaction: how teaching music performance keeps students frustrated but makes them think with mind and body. Lessons for teachers,,Liselyn Adams,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1001,YES,,0,2023,Crazy Idea: What If We Use Engineering to Develop and Deliver Engineering Education?,https://doi.org/10.1109/fie58773.2023.10343251,B. Saxberg; Emily A Marasco; Jim Goodell,Frontiers in Education Conference,Saxberg/Marasco/Goodell FIE 'introduction to learning engineering-an emerging branch of engineering'.,semanticscholar
1002,NO,,0,1993,Learning engineering practice through activities,https://doi.org/10.1109/fie.1993.405377,M. Yamamoto,Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,semanticscholar
1003,NO,,0,2020,FIRST PART,https://doi.org/10.1515/9780804794367-003,Christian Kaestner,The Manhattan Project,No LE-discipline signals found.,semanticscholar
1004,NO,,0,2012,Realization of a Web Simulation Sensor Laboratory by LabVIEW,,Liu Xiao-min,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1005,NO,,0,2015,ANALISIS PELAKSANAAN ASESMEN PEMBELAJARAN FISIKA TEKNIK PADA PROGRAM STUDI PENDIDIKANFAKULTAS TEKNIK UNM,,U. P. Palinggi; Marthen Paloboran; M. A. S. Mandra,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1006,NO,,0,2009,Trial on having Students Acquire Wide Ranging Analytical Skill and Research Attitude in a Short Period After Becoming Senior in University,https://doi.org/10.4307/jsee.57.5_44,Michihiko Tanaka,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1007,ADJACENT,,0,2021,The internet-effective educational instruments in health education,https://doi.org/10.70921/medev.v27i3.1124,A. Tanase; R. Cosoroabă; S. A. Todor,Medicine in Evolution,Tanase internet health-education survey — mentions 'learning engineering as emerging tech' in passing; adjacent.,semanticscholar
1008,NO,,0,2003,On Training Students' Thinking in Images in Teaching Engineering Drafting,,Zhen Zhen,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
1009,NO,,0,2022,Integrating Introductory Courses for First Year Engineering Students: Systematic Strategy Using a Complex Problem,https://doi.org/10.1109/fie56618.2022.9962636,T. M. Busu; Aishah Rosli; Khairiyah Binti Mohd Yusof,Frontiers in Education Conference,Engineering-education venue (engineering-ed confusable).,semanticscholar
1010,NO,,0,1992,The NASA/USRA ADP at the University of Central Florida,https://doi.org/10.2514/6.1992-1043,L. Anderson; P. K. Armitage,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1011,NO,,0,2015,INCORPORATING DESIGN-BASED LEARNING ENGINEERING EXPERIENCES IN SECONDARY SCIENCE SUBJECTS IN QATAR,,H. Loutfy; Yossra Osman; A. Najjar,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1012,YES,,0,2026,Proceedings of the Learning Engineering Research Network Convening (LERN 2026),https://doi.org/10.59668/2551,Scotty D. Craig,,Craig LERN 2026 proceedings — canonical LE venue.,semanticscholar
1013,NO,,0,2014,Learning engineering dynamics with a videogame,,B. Coller,,engineering-ed; teaching engineering dynamics subject,semanticscholar
1014,NO,,0,2024,Integrating Real-World Applications into the Machine Design Course through an Open-Ended Assignment – A Case Study,https://doi.org/10.16920/jeet/2024/v37is2/24135,Binu K G; Yathish Kumar K; Rolvin S. D’Silva,Journal of Engineering Education Transformations,Engineering-education venue (engineering-ed confusable).,semanticscholar
1015,NO,,0,2017,Education for Sustainability Using PBL on an Engineering Course at the National University of Colombia,,Hernán G. Cortés-Mora; J. Peña-Reyes; Alfonso Herrera-Jiménez,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1016,NO,,0,2017,Pedagogical Tools to Enhance the Cognitive Skills of (Humanitarian) Design Engineers: The Rationale,https://doi.org/10.24908/ijsle.v12i1.8631,T. Colledge,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
1017,NO,,0,2011,Core basic course group construction in computer major,https://doi.org/10.1109/iccse.2011.6028704,W. Zhixiao; Meng Fanrong,International Conference on Crowd Science and Engineering,No abstract and no LE signals in title/venue/authors.,semanticscholar
1018,NO,,0,2013,Mathematical Experiment in Engineering Mathematics Teaching,,Zhao Xiu-yin,,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
1019,NO,,0,2017,DEVELOPMENT OF A SUCCESSFUL CASES-BASED ALGORITHM TO BUILD AN EFFECTIVE TEAM IN ENGINEERING EDUCATION,,Shinmyeong Kim; Hyeonkeun Lee,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1020,NO,,0,2023,A Cross-Disciplinary Knowledge Management Framework for Artificial Intelligence in Business Projects,,Andrzej Wodecki,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1021,NO,,0,2016,Learning engineering without avoiding the “what for” question,,J. M. Muñoz; M. Farrús; A. Florensa,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1022,NO,,0,2020,Self-Donning Sterile Gloves: Learning Engineering Design Through an Everyday Problem in Healthcare,https://doi.org/10.1080/08872376.2020.12291376,Amy E. Trauth; J. Buckley,Science Scope,Engineering-education confusable phrasing; no LE venue/figure.,semanticscholar
1023,NO,,0,2023,EvoLP.jl: A Playground for Evolutionary Computation in Julia,,Xavier F. C. Sánchez-Díaz; O. Mengshoel,NAIS,No abstract and no LE signals in title/venue/authors.,semanticscholar
1024,NO,,0,1925,SANITARY ENGINEERING AS A CAREER.,https://doi.org/10.2105/ajph.15.6.509,W. Bizzell,American Journal of Public Health,No abstract and no LE signals in title/venue/authors.,semanticscholar
1025,NO,,0,2004,The Discussion About the Cultivation of Student's Motivation of Learning Physics at Engineering Colleges,,Li Cheng-yue,,No abstract and no LE signals in title/venue/authors.,semanticscholar
1026,NO,,0,2008,Discovery-Based Learning Engineering Classroom,https://doi.org/10.18260/1-2-1153-50351,Bahram Nassersharif,2008 Spring ASEE Middle Atlantic Section Conference Proceedings,Engineering-education venue (engineering-ed confusable).,semanticscholar
1027,NO,,0,2012,Students' Awareness and Perceptions of Learning Engineering: Content and Construct Validation of an Instrument.,,Daphne S. Duncan-Wiles,,engineering-ed survey of students,semanticscholar
1028,NO,,0,1998,Workshop on Lifelong Learning,,Jean Armstrong; M. Rosse; Jeff Stewart,,No abstract and no LE signals in title/venue/authors.,semanticscholar
